,pretty_formula,spacegroup,material_id,e_above_hull,band_gap,elements,tolerance
0,Cs2EuAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113566,0.0,0.0,"['Ag', 'Cl', 'Eu']",['4.138009346270046']
1,Cs2EuCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113361,0.0,0.0,"['Cl', 'Cu', 'Eu']",['4.035340480566667']
2,Cs2GdAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113592,0.0,0.0,"['Ag', 'Cl', 'Gd']",['4.128220156587014']
4,Cs2LiEuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113515,0.0,0.0,"['Cl', 'Eu', 'Li']",['4.040036599407414']
5,Cs2NaEuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112989,0.0,0.0,"['Cl', 'Eu', 'Na']",['4.046740008903258']
19,Cs2HgSbBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113296,0.037414989187499,0.0,"['Br', 'Hg', 'Sb']",['4.179716546954266']
32,Cs2InHgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112904,0.0549603434999999,0.0,"['Cl', 'Hg', 'In']",['4.039891279629433']
33,Cs2CuAuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113490,0.0584719741666668,0.0,"['Au', 'Cl', 'Cu']",['4.107183463682518']
34,Cs2HgSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112902,0.0590739200000003,0.0,"['Cl', 'Hg', 'Sb']",['4.02198775312894']
37,Cs2HgAsCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112907,0.064975687,0.0,"['As', 'Cl', 'Hg']",['4.057674283465115']
39,Cs2NaYbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-567172,0.0708823805,0.0,"['Cl', 'Na', 'Yb']",['4.017248529331478']
48,Cs2ScHgBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112630,0.0927489756874986,0.0,"['Br', 'Hg', 'Sc']",['4.17681216145316']
49,Cs2NaTaCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112530,0.0943500642500021,0.0,"['Cl', 'Na', 'Ta']",['4.032949510304272']
51,Cs2InAuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112620,0.0954030594999983,0.0,"['Au', 'Cl', 'In']",['4.144801319986388']
54,Cs2ScHgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113294,0.0991170269999988,0.0,"['Cl', 'Hg', 'Sc']",['4.017503407053191']
56,Cs2InCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112609,0.0411477572499991,0.0005000000000001,"['Cl', 'Cu', 'In']",['4.124110934398499']
63,Cs2CeCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113363,0.0743298440000002,0.2593999999999998,"['Ce', 'Cl', 'Cu']",['4.01815875876752']
74,Cs2NaCeCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1079458,0.0,0.4222999999999999,"['Ce', 'Cl', 'Na']",['4.087519452327678']
76,Cs2SbAuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112926,0.0875133189999988,0.4246000000000001,"['Au', 'Cl', 'Sb']",['4.096004038036378']
82,Cs2LiCeCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113020,0.0,0.4757000000000002,"['Ce', 'Cl', 'Li']",['4.020818431993765']
84,Cs2NaUCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-23108,0.0,0.5018000000000002,"['Cl', 'Na', 'U']",['4.099439783539385']
103,Cs2CuSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112956,0.03641922075,0.9493,"['Cl', 'Cu', 'Sb']",['4.162252735416075']
105,Cs2AgMoCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113480,0.0434758626666647,0.9802000000000002,"['Ag', 'Cl', 'Mo']",['4.0149273843040785']
112,Cs2CuBiCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113377,0.0243798452499972,1.1557,"['Bi', 'Cl', 'Cu']",['4.014995411509596']
114,Cs2AgSbBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112943,0.0075474861875002,1.2018,"['Ag', 'Br', 'Sb']",['4.175544051651586']
117,Cs2TlAsBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112112,0.0,1.2309,"['As', 'Br', 'Tl']",['4.175275856027582']
123,Cs2HgPdCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}",mp-1079232,0.0016723510500007,1.2978999999999998,"['Cl', 'Hg', 'Pd']",['4.02198775312894']
124,Cs2GaAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113623,0.0682543440000014,1.3071000000000002,"['Ag', 'Cl', 'Ga']",['4.043647453276685']
127,Cs2InAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1096926,0.0,1.3724,"['Ag', 'Cl', 'In']",['4.026911256841516']
129,Cs2NaCrCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1205696,0.0,1.3791000000000002,"['Cl', 'Cr', 'Na']",['4.111771815198844']
143,Cs2KCrCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1205683,0.0,1.5968,"['Cl', 'Cr', 'K']",['4.0121490684921195']
147,Cs2NaMoCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112538,0.0039994622083323,1.6672999999999998,"['Cl', 'Mo', 'Na']",['4.0489731103959885']
148,Cs2AgSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112940,0.0,1.6771,"['Ag', 'Cl', 'Sb']",['4.015095595461377']
149,Cs2KMoCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113042,0.0056126712083326,1.6914000000000002,"['Cl', 'K', 'Mo']",['4.039984447952074']
160,Cs2ScCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113337,0.0522492567499996,1.9632,"['Cl', 'Cu', 'Sc']",['4.178362140045204']
161,Cs2NaInBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-996943,0.0,1.9899,"['Br', 'In', 'Na']",['4.178281870143371']
166,Cs2TlAsCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112502,0.0135054500000011,2.076,"['As', 'Cl', 'Tl']",['4.014458975801913']
172,Cs2KGaBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112623,0.0789130177499988,2.1457,"['Br', 'Ga', 'K']",['4.174861286999247']
177,Cs2LaCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113523,0.0525490888749979,2.2036,"['Cl', 'Cu', 'La']",['4.014737396037744']
188,Cs2DyCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112958,0.0391387974166663,2.3142,"['Cl', 'Cu', 'Dy']",['4.049920567823712']
194,Cs2PrCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112617,0.0537259502291669,2.3993,"['Cl', 'Cu', 'Pr']",['4.022403007276617']
197,Cs2TmCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112615,0.0399365562500011,2.4663000000000004,"['Cl', 'Cu', 'Tm']",['4.06664383235398']
199,Cs2ErCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112917,0.0398346943333334,2.4799999999999995,"['Cl', 'Cu', 'Er']",['4.061057017500557']
200,Cs2AlAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113621,0.0615589037500017,2.4879,"['Ag', 'Al', 'Cl']",['4.124960314353214']
206,Cs2YCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112909,0.0402206152500053,2.5659999999999994,"['Cl', 'Cu', 'Y']",['4.05580074816085']
209,Cs2SmCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112618,0.0327577754999994,2.6071000000000004,"['Cl', 'Cu', 'Sm']",['4.031522074820286']
210,Cs2TbCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113333,0.0298647117499997,2.6108,"['Cl', 'Cu', 'Tb']",['4.044931492515818']
211,Cs2TlGaCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112002,0.0533273534999989,2.6752,"['Cl', 'Ga', 'Tl']",['4.030554089572161']
